Ahaggar Mountains[Algeria]---929,52km--->Adrar[Algeria]
Adrar[Algeria]---440,99km--->Abadla[Algeria]
Abadla[Algeria]---485,71km--->Al Hoceima[Morocco]
Al Hoceima[Morocco]---241,39km--->Almeria[Spain]
Almeria[Spain]---276,64km--->Alicante[Spain]
Alicante[Spain]---429,56km--->Algiers[Algeria]
Algiers[Algeria]---520,04km--->Barcelona[Spain]
Barcelona[Spain]---144,50km--->Andorra la Vella[Andorra]
Andorra la Vella[Andorra]---3,52km--->Anyos[Andorra]
Anyos[Andorra]---7,12km--->Arinsal[Andorra]
Arinsal[Andorra]---401,75km--->Avignon[France]
Avignon[France]---489,13km--->Ajaccio[France]
Ajaccio[France]---117,24km--->Bastia[France]
Bastia[France]---357,33km--->Acquaviva[San Marino]
Acquaviva[San Marino]---125,00km--->Ancona[Italy]
Ancona[Italy]---255,60km--->Anzio[Italy]
Anzio[Italy]---471,61km--->Bari[Italy]
Bari[Italy]---269,61km--->Bar[Yugoslavia]
Bar[Yugoslavia]---328,18km--->Aleksinac[Yugoslavia]
Aleksinac[Yugoslavia]---277,71km--->Arad[Romania]
Arad[Romania]---261,31km--->Baja[Hungary]
Baja[Hungary]---243,45km--->Banja Luka[Bosnia-Herzegovina]
Banja Luka[Bosnia-Herzegovina]---375,09km--->Althofen[Austria]
Althofen[Austria]---132,48km--->Bad Ischl[Austria]
Bad Ischl[Austria]---145,53km--->Amstetten[Austria]
Amstetten[Austria]---444,49km--->Augsburg[Germany]
Augsburg[Germany]---209,25km--->Balzers[Liechtenstein]
Balzers[Liechtenstein]---96,79km--->Altdorf[Switzerland]
Altdorf[Switzerland]---86,47km--->Aarau[Switzerland]
Aarau[Switzerland]---54,24km--->Basel[Switzerland]
Basel[Switzerland]---148,70km--->Baden-Baden[Germany]
Baden-Baden[Germany]---275,57km--->Asselborn[Luxembourg]
Asselborn[Luxembourg]---35,30km--->Arlon[Belgium]
Arlon[Belgium]---37,11km--->Bastogne[Belgium]
Bastogne[Belgium]---96,06km--->Aachen[Germany]
Aachen[Germany]---134,20km--->Arnhem[Netherlands]
Arnhem[Netherlands]---27,12km--->Apeldoorn[Netherlands]
Apeldoorn[Netherlands]---79,15km--->Almelo[Netherlands]
Almelo[Netherlands]---73,03km--->Assen[Netherlands]
Assen[Netherlands]---194,99km--->Amsterdam[Netherlands]
Amsterdam[Netherlands]---36,33km--->Alkmaar[Netherlands]
Alkmaar[Netherlands]---160,53km--->Antwerp[Belgium]
Antwerp[Belgium]---45,25km--->Anderlecht[Belgium]
